Term,Session,Bidding Window,Course Code,Description,Section,Vacancy,Opening Vacancy,Before Process Vacancy,D.I.C.E,After Process Vacancy,Enrolled Students,Max Bid,Median Bid,Min Bid,Instructor,School/Department
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G1,45,45,1,0,1,44,0.00,0.00,0.00,CHUNG SUNG GON,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G10,45,45,6,0,6,39,0.00,0.00,0.00,LEE JOON HO,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G11,45,45,7,0,7,38,0.00,0.00,0.00,LEE JOON HO,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G12,45,45,6,0,6,39,0.00,0.00,0.00,LEE JOON HO,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G13,45,45,7,0,7,38,0.00,0.00,0.00,LEE JOON HO,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G14,45,45,3,0,3,42,0.00,0.00,0.00,CHUNG SUNG GON,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G15,45,45,5,0,5,40,0.00,0.00,0.00,CHEN KUN-CHIH,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G16,45,45,8,0,8,37,0.00,0.00,0.00,YUANTO KUSNADI,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G17,45,45,8,0,8,37,0.00,0.00,0.00,YUANTO KUSNADI,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G18,45,45,6,0,6,39,0.00,0.00,0.00,YUANTO KUSNADI,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G2,45,45,2,0,2,43,0.00,0.00,0.00,CHUNG SUNG GON,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G3,45,45,4,0,4,41,0.00,0.00,0.00,CHUNG SUNG GON,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G4,45,45,6,0,6,39,0.00,0.00,0.00,CHEN KUN-CHIH,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G5,45,45,6,0,6,39,0.00,0.00,0.00,CHEN KUN-CHIH,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G6,45,45,5,0,5,40,0.00,0.00,0.00,CHEN KUN-CHIH,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G7,45,45,2,0,2,43,0.00,0.00,0.00,KIM JAE BUM,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G8,45,45,6,0,6,39,0.00,0.00,0.00,KIM JAE BUM,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G9,45,45,2,0,2,43,0.00,0.00,0.00,KIM JAE BUM,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,SG1,3,3,3,0,3,0,0.00,0.00,0.00,"KIM JAE BUM, KIM JAE BUM",SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,SG2,3,3,2,0,2,1,0.00,0.00,0.00,LEE JOON HO,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G1,45,45,0,0,0,45,0.00,0.00,0.00,WONG SUAY PENG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G10,45,45,2,0,2,43,0.00,0.00,0.00,CHENG NAM SANG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G11,45,45,4,0,3,42,10.00,10.00,10.00,CHENG NAM SANG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G12,45,45,0,0,0,45,0.00,0.00,0.00,CHENG NAM SANG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G2,45,45,1,0,1,44,0.00,0.00,0.00,WONG SUAY PENG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G3,45,45,0,0,0,45,0.00,0.00,0.00,WONG SUAY PENG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G4,45,45,0,0,0,45,0.00,0.00,0.00,WONG SUAY PENG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G5,45,45,0,0,0,45,0.00,0.00,0.00,KATHERINE YUEN,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G6,45,45,1,0,1,44,0.00,0.00,0.00,KATHERINE YUEN,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G7,45,45,0,0,0,45,0.00,0.00,0.00,KATHERINE YUEN,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G8,45,45,0,0,0,45,0.00,0.00,0.00,JENNIFER KOH,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G9,45,45,1,0,1,44,0.00,0.00,0.00,JENNIFER KOH,SOA
